grid_id,luas_hijau_m2,luas_bangunan_m2,panjang_jalan_m,index_right,kecamatan
187,209562.25874636148,0.0,0.0,1553.0,Gumelar
188,62504.04874036564,0.0,0.0,1553.0,Gumelar
189,1936.296394423844,0.0,0.0,1553.0,Gumelar
190,37552.23332095912,46925.33571067876,752.5942233354363,1553.0,Gumelar
191,108486.0721971895,0.0,357.9903328603894,1553.0,Gumelar
192,13912.731256102168,0.0,176.9743989661471,1553.0,Gumelar
193,710.4285574562402,69018.37123317173,540.345807032741,1553.0,Gumelar
194,97348.52395822533,11142.056619809786,181.82797232644052,1553.0,Gumelar
195,140193.87626944733,13238.939704962084,935.7726248130276,1553.0,Gumelar
196,42750.82535527993,0.0,0.0,1553.0,Gumelar
197,234560.989904921,0.0,0.0,1553.0,Gumelar
198,249999.2083041797,0.0,0.0,1553.0,Gumelar
199,169315.2589288894,0.0,0.0,1553.0,Gumelar
200,23414.16592357959,0.0,0.0,1553.0,Gumelar
201,440.0010148765609,0.0,0.0,1575.0,Wangon
202,79981.03101801383,0.0,0.0,1575.0,Wangon
203,243470.3894531897,0.0,0.0,1575.0,Wangon
204,50908.03764957943,0.0,0.0,1575.0,Wangon
204,50908.03764957943,0.0,0.0,1561.0,Lumbir
205,3440.766249542273,0.0,0.0,1575.0,Wangon
205,3440.766249542273,0.0,0.0,1561.0,Lumbir
206,51.729025961752335,0.0,0.0,1561.0,Lumbir
207,189231.33402326627,0.0,0.0,1561.0,Lumbir
208,234594.722005404,2381.15792345814,0.0,1561.0,Lumbir
209,68744.46556641848,65540.42617524542,0.0,1561.0,Lumbir
210,71755.63860317678,0.0,0.0,1561.0,Lumbir
211,15651.2299695539,12343.290632462948,213.9965588074952,1561.0,Lumbir
211,15651.2299695539,12343.290632462948,213.9965588074952,1553.0,Gumelar
212,4174.137663318573,104757.47726427294,1008.5788097591908,1561.0,Lumbir
212,4174.137663318573,104757.47726427294,1008.5788097591908,1553.0,Gumelar
213,45470.625307858885,85888.65192609296,289.66339835625195,1561.0,Lumbir
213,45470.625307858885,85888.65192609296,289.66339835625195,1553.0,Gumelar
214,112926.67487760396,0.0,0.0,1561.0,Lumbir
214,112926.67487760396,0.0,0.0,1553.0,Gumelar
215,29045.98756955229,0.0,0.0,1553.0,Gumelar
216,236705.0659648961,0.0,0.0,1553.0,Gumelar
217,158595.8734670093,0.0,126.10194296477832,1553.0,Gumelar
218,148049.15317802114,0.0,400.70615862385455,1549.0,Ajibarang
218,148049.15317802114,0.0,400.70615862385455,1553.0,Gumelar
219,250000.0,0.0,0.0,1549.0,Ajibarang
219,250000.0,0.0,0.0,1553.0,Gumelar
220,37.35361081995467,23221.12471951128,0.0,1549.0,Ajibarang
220,37.35361081995467,23221.12471951128,0.0,1553.0,Gumelar
221,193784.47128392823,32957.05038574056,0.0,1549.0,Ajibarang
221,193784.47128392823,32957.05038574056,0.0,1553.0,Gumelar
222,0.0,21243.77851496925,499.1191456174273,1549.0,Ajibarang
222,0.0,21243.77851496925,499.1191456174273,1553.0,Gumelar
223,45149.05991541813,38388.36519459034,526.0832794689068,1549.0,Ajibarang
223,45149.05991541813,38388.36519459034,526.0832794689068,1553.0,Gumelar
224,0.0,0.0,0.0,1553.0,Gumelar
225,26212.344353770324,17349.91695964975,478.0473045633896,1553.0,Gumelar
226,83894.58671232098,0.0,0.0,1553.0,Gumelar
227,40697.71392497316,27413.044190759385,100.9035293776055,1553.0,Gumelar
228,79850.84052887975,17889.947393477392,369.4673240697243,1553.0,Gumelar
229,0.0,93125.61325736326,950.684874244798,1553.0,Gumelar
230,0.0,36532.62273282596,1080.818776781858,1553.0,Gumelar
231,8336.268444872283,123910.82834580955,1730.656471307159,1553.0,Gumelar
232,1954.5164278077243,81.13995210627685,21.771685841771514,1575.0,Wangon
233,155815.47574271765,0.0,0.0,1575.0,Wangon
234,250000.0,0.0,0.0,1575.0,Wangon
234,250000.0,0.0,0.0,1561.0,Lumbir
235,158613.70089632424,30757.182001000918,38.16865494900753,1575.0,Wangon
235,158613.70089632424,30757.182001000918,38.16865494900753,1561.0,Lumbir
236,122870.78338913176,22948.91636322824,149.80109767463952,1575.0,Wangon
236,122870.78338913176,22948.91636322824,149.80109767463952,1561.0,Lumbir
237,113548.27172707736,566.1847921606294,0.0,1575.0,Wangon
237,113548.27172707736,566.1847921606294,0.0,1561.0,Lumbir
238,105408.13379093813,1.6648697429107049,242.4783873655545,1561.0,Lumbir
239,33128.92852144265,9.377052021219171,113.70043566270374,1561.0,Lumbir
