grid_id,kecamatan,cell_area_m2,bangunan_m2,hijau_m2,jalan_m,road_km_per_km2,building_area_pct,green_area_pct,ratio_green_building,ratio_road_building,score,kategori_emisi
107,Lumbir,250000.0,0.0,113597.89277252265,0.0,0.0,0.0,45.43915710900906,113597.89277252265,0.0,-0.05022829794682382,Sedang
108,Lumbir,250000.0,0.0,250000.0,0.0,0.0,0.0,100.0,250000.0,0.0,-0.11053967798373891,Rendah
109,Lumbir,250000.0,0.0,250000.0,0.0,0.0,0.0,100.0,250000.0,0.0,-0.11053967798373891,Rendah
110,Lumbir,250000.0,204.88099214801048,221679.89753178298,0.0,0.0,0.08195239685920419,88.67195901271319,1076.7380476407188,0.0,-0.09783876445311118,Rendah
111,Lumbir,250000.0,97484.44285729126,15534.921550450214,676.8550531105964,2.7074202124423854,38.9937771429165,6.2139686201800854,0.15935632126318341,0.006943139747556393,0.09937681713421567,Tinggi
112,Lumbir,250000.0,62856.95658036419,69057.04932594801,0.0,0.0,25.14278263214568,27.622819730379206,1.0986206533401743,0.0,0.02436215779550239,Sedang
113,Lumbir,250000.0,0.0,202486.2082384277,0.0,0.0,0.0,80.99448329537108,202486.2082384277,0.0,-0.08953104101929639,Rendah
114,Lumbir,250000.0,0.0,250000.0,0.0,0.0,0.0,100.0,250000.0,0.0,-0.11053967798373891,Rendah
115,Lumbir,250000.0,18150.615831394454,180714.2970639387,756.0110998861572,3.024044399544629,7.260246332557782,72.28571882557547,9.955824249617548,0.041649796189416076,-0.04047670876670277,Sedang
116,Lumbir,250000.0,98250.09460221583,123001.70037712276,1300.15423351716,5.20061693406864,39.30003784088633,49.2006801508491,1.25191175604825,0.013232974541210231,0.07196537170273337,Sedang
117,Lumbir,250000.0,964.4000038712096,102628.4091720247,0.0,0.0,0.38576000154848383,41.05136366880988,106.30661773408897,0.0,-0.04453578323062663,Sedang
118,Lumbir,85985.03290082594,0.0,82997.52550933535,0.0,0.0,0.0,96.52554951634856,82997.52550933535,0.0,-0.10669903160740615,Rendah
118,Gumelar,85985.03290082594,0.0,82997.52550933535,0.0,0.0,0.0,96.52554951634856,82997.52550933535,0.0,-0.10669903160740615,Rendah
119,Lumbir,85985.03290082594,0.0,82997.52550933535,0.0,0.0,0.0,96.52554951634856,82997.52550933535,0.0,-0.10669903160740615,Rendah
119,Gumelar,85985.03290082594,0.0,82997.52550933535,0.0,0.0,0.0,96.52554951634856,82997.52550933535,0.0,-0.10669903160740615,Rendah
120,Lumbir,12283.810214953406,0.0,12283.810214953402,0.0,0.0,0.0,99.99999999999997,12283.810214953402,0.0,-0.11053967798373888,Rendah
